location,crowd-low-estimate,crowd-high-estimate,mean-high-low,source,Latitude,Longitude
"Pittsburgh, PA","25,000","25,000",25000,http://www.post-gazette.com/local/city/2017/01/21/Pittsburgh-groups-protest-against-Trump/stories/201701210111,40.47441,-79.950968
"Pittsfield, MA","1,500",1500,1500,http://theberkshireedge.com/sister-march-at-colonial-theatre-draws-throngs-from-across-the-berkshires/,42.479475,-73.24807
"Plattsburg, NY",182,182,182,https://twitter.com/elodiemet/status/823227264645132288,44.704021,-73.471148
"Plymouth, WI",200,200,200,http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/,45.010519,-93.455509
"Pocatello, ID","1,200",1200,1200,http://idahostatejournal.com/members/marchers-show-up-in-droves-for-women-s-march-on/article_fe93fb5e-f29b-5784-bda9-6f66cc342649.html,42.904933,-112.380079
"Port Angeles, WA",100,100,100,FB,48.051108,-123.360411
"Port Jefferson, NY","2,000","2,000",2000,http://www.newsday.com/long-island/women-s-values-rallies-in-huntington-port-jefferson-station-1.12993518,40.94649,-73.06927
"Port Jervis, NY",350,500,425,onsite eyewitness via google form,41.37509,-74.69266
"Port Orford, OR",280,300,290,onsite eyewitness via google form; did headcount,35.973777,-118.703592
"Port Townsend, WA","1,000","1,000",1000,FB,48.018572,-122.849683
"Portland, ME","10,000","10,000",10000,http://www.pressherald.com/2017/01/21/signs-sentiments-crowd-eastern-prom-for-womens-march/,45.507856,-122.690794
"Portland, OR","70,000","100,000",85000,https://twitter.com/scaackler/status/822995313703075840,45.507856,-122.690794
"Portsmouth, NH","3,000",5000,4000,"http://www.seacoastonline.com/news/20170121/portsmouth-womens-march-draws-thousands
",36.811498,-76.367715
"Poughkeepsie, NY","4,000",5000,4500,https://www.facebook.com/rivera.sun.3?fref=nf&pnref=story.unseen-section,41.701908,-73.911521
"Prescott, AZ","1,200","1,200",1200,http://www.dcourier.com/photos/galleries/2017/jan/21/womens-march-in-prescott/,34.591349,-112.426312
"Providence, RI","7,000","7,000",7000,https://twitter.com/JohnMarionjr/status/822980976628404226,41.82275,-71.414451
"Provincetown, MA",300,300,300,http://capecodwave.com/provincetown-womens-march-going-speak/,42.05844,-70.17864
"Raleigh, NC","17,000","20,000",18500,http://www.wral.com/organizers-estimate-17-000-gather-in-raleigh-for-women-s-march/16456580/,35.773632,-78.634457
"Rapid City, SD",1000,"2,000",1500,https://twitter.com/ThatBrandyn/status/822891625676275712,44.145868,-103.206866
"Reading, PA",100,200,150,http://www.readingeagle.com/news/article/crowds-gather-in-city-park-in-reading-for-sister-march,40.600342,-122.455016
"Red Bank, NJ",200,200,200,newjersey.news12.com/multimedia/hundreds-march-in-solidarity-in-red-bank-1.12994794,40.358409,-74.068143
"Redding, CA",300,300,300,http://www.redding.com/story/news/local/2017/01/21/live-tweets-womens-march-redding-city-hall/96882162/,40.600342,-122.455016
"Redondo Beach, CA","1,800","1,800",1800,http://www.easyreadernews.com/144169/redondo-beach-womens-march-draws-1800-participants/,33.830006,-118.387124
"Redwood City, CA","2,500","2,500",2500,https://twitter.com/AlexHorovitz/status/822997333151387649,37.381144,-122.334825
"Reno, NV","10,000","10,000",10000,http://www.rgj.com/story/news/2017/01/21/s-change-reno-womens-march-washington/96888834/,39.525749,-119.813051
"Richland, WA",1000,2500,1750,http://www.tri-cityherald.com/news/local/article128022844.html,46.28569,-119.28446
"Richmond, VA",2000,2000,2000,http://richmondfreepress.com/news/2017/jan/20/thousands-join-march-monument-message-equality-uni/,37.524246,-77.493157
"Ridgecrest, CA",180,200,190,onsite eyewitness; headcount at start with others joining along route,35.606509,-117.683472
"Ridgeway, CO",50,50,50,FB,36.579801,-79.877967
"Riegelsville, PA",170,170,170,Bucks County Courier Times,40.567316,-75.236191
"Riverside, CA",4000,4000,4000,http://www.pasadenastarnews.com/general-news/20170121/thousands-of-women-others-rally-in-riverside-to-protest-trumps-policies,33.99504,-117.373184
"Roanoke, VA",3000,3000,3000,http://www.wdbj7.com/content/news/Thousands-marched-for-women-in-Roanoke-411421475.html,37.274175,-79.95786
"Rochester, MN",600,1000,800,https://twitter.com/water_violin/status/822997922757349376,43.286024,-77.684264
"Rochester, NY",1500,2000,1750,http://www.democratandchronicle.com/story/news/2017/01/21/women-upset-trumps-presidency-hold-rallies-locally/96715496/,43.286024,-77.684264
"Rockford, IL","1,000","1,000",1000,http://www.rrstar.com/news/20170121/crowds-pack-downtown-rockford-for-womens-march-protest,42.33342,-89.157198
"Roswell, NM",2,2,2,"via email (JP)
",34.055198,-84.370475
"St. Augustine, FL","1,000","2,000",1500,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372,29.918235,-81.367087
"St. George, UT","1,200","1,475",1337.5,organizer head count,33.988832,-84.858967
"St. John, VA",,,,,41.453965,-87.453086
"St. Louis, MO","20,000","20,000",20000,FB,38.631501,-90.19231
"St. Mary's City, MD",10,10,10,https://www.facebook.com/eric.heisler.79/posts/10210356063470308,38.437603,-90.865843
"St. Mary of the Woods, IN",,,,,40.851549,-73.840908
"St. Paul/Minneapolis, MN","90,000","100,000",95000,https://twitter.com/sppdPIO/status/822974502434930688,44.952452,-93.320647
"St. Petersburg, FL","20,000","20,000",20000,http://www.tampabay.com/news/politics/elections/womens-march-surpassed-20000-protesters-making-it-largest-in-st-petersburg/2310416,27.775654,-82.64092
"Sacramento, CA","20,000","20,000",20000,http://www.sacbee.com/news/local/article127914504.html,38.380456,-121.555406
"Sag Harbor, NY",250,250,250,http://easthamptonstar.com/News/7/East-Enders-Marched-Washington-NYC-and-Sag-Harbor,40.99788,-72.29258
"Salem, OR","1,000","2,000",1500,http://www.statesmanjournal.com/story/news/2017/01/21/womens-march-salem-unites-thousands-people/96850428/,44.94878,-123.003655
"Salem, WI",2,2,2,eyewitness onsite,44.94878,-123.003655
"Salida, CO",,,,,37.71553,-121.08695
"Salisbury, CT",200,200,200,https://twitter.com/jahansell/status/823009339174780928,35.680441,-80.45316
"Salt Lake City, UT",,,,http://www.sltrib.com/home/4843395-155/about-1000-utahns-rally-against-president,40.756095,-111.900719
"San Antonio, TX","1,500","1,500",1500,http://www.mysanantonio.com/news/local/article/Women-in-San-Antonio-take-to-the-streets-to-10873833.php,29.468413,-98.528889
"San Bernardino, CA",80,80,80,http://www.pe.com/articles/san-823719-bernardino-participated.html,34.104794,-117.29215
"San Clemente, CA",100,200,150,San Clemente Times,47.534473,-121.816158
"San Diego, CA","30,000","40,000",35000,http://www.kpbs.org/news/2017/jan/20/thousands-san-diegans-march-womens-rights/,32.724103,-117.170912
"San Francisco, CA","100,000","150,000",125000,http://sanfrancisco.cbslocal.com/2017/01/21/huge-crowd-san-francisco-rally-womens-march/,37.776646,-122.417481
"San Jose, CA","25,000","25,000",25000,http://www.sfchronicle.com/bayarea/article/Crowds-gather-to-demonstrate-against-Trump-10873932.php,37.189396,-121.705327
"San Juan, PR",,,,,18.465901,-66.103568
"San Leandro, CA",,,,,37.715629,-122.158621
"San Luis Obispo, CA","10,000","10,000",10000,http://snewsi.com/id/17147530942/Thousands-march-despite-rain-Saturday-in-San-Luis-Obispo,35.180139,-120.730674
"San Marcos, CA","3,000","10,000",6500,http://www.sandiegouniontribune.com/communities/north-county/sd-no-san-marcos-march-20170119-story.html,33.170778,-117.158674
"San Rafael, CA",500,500,500,FB,37.970948,-122.504286
"Sanford, ME",,,,,28.793491,-81.299169
"Sandpoint, ID",800,1000,900,http://www.bonnercountydailybee.com/local_news/20170121/marching_together_north_idaho_style,48.299486,-116.553968
"Sandy, OR",,,,,40.577106,-111.889047
"Santa Ana, CA","20,000","25,000",22500,http://www.ocregister.com/articles/march-741832-women-people.html,33.74822,-117.858473
"Santa Barbara, CA","2,000","6,000",4000,http://www.keyt.com/news/local-politics/hundreds-of-santa-barbara-residents-march-in-solidarity-with-national-protest/284648025,34.421897,-119.707135
"Santa Cruz, CA","10,000","15,000",12500,FB,37.052748,-122.111126
"Santa Fe, NM","10,000","17,000",13500,http://www.santafenewmexican.com/news/local_news/santa-feans-flood-downtown-streets-in-display-of-anger-hope/article_8bf2bb24-b83f-51e3-8434-8a18223dac5d.html,35.697473,-105.982146
"Santa Rosa, CA","4,300","5,000",4650,FB,38.450412,-122.783159
"Santurce, PR",,,,,38.450412,-122.783159
"Sarasota, FL","7,500","10,000",8750,https://twitter.com/sarasotapd/status/822888985689292800,27.335023,-82.537169
"Sault Ste Marie, MI",40,40,40,https://www.sootoday.com/local-news/women-resist-on-queen-street-516643,36.930404,-81.037445
"Savannah, GA","1,000","1,000",1000,http://savannahnow.com/news/2017-01-21/hundreds-march-downtown-savannah-promote-women-s-rights-oppose-trump,32.074679,-81.088261
"Saxaphaw, NC",80,80,80,https://twitter.com/HandyVillage/status/823178636790468609,0,0
"Seaside, CA","1,500","2,000",1750,onsite count via eyewitness,36.61107,-121.85162
"Seattle, WA","120,000","175,000",147500,http://www.capitolhillseattle.com/2017/01/womens-march-stretches-from-central-district-to-the-seattle-center/,47.432251,-121.803388
"Sedona, AZ","1,000","1,000",1000,FB,40.293558,-84.209198
"Seldovia, AK",41,41,41,via email (JP),59.449486,-151.700915
"Selinsgrove, PA",119,119,119,FB,40.825914,-76.857577
"Seneca Falls, NY","10,000","10,000",10000,http://fingerlakes1.com/2017/01/21/full-coverage-women-march-in-seneca-falls-2017/,42.905264,-76.794921
"Sequim, WA",300,500,400,https://twitter.com/davidacody/status/823226017674248196,48.06773,-123.080362
"Seward, AK",54,70,62,onsite count via Twitter (w/ photo),40.91582,-97.101341
"Sharon, PA",700,700,700,http://www.sharonherald.com/news/local_news/many-feet-one-voice/article_bba9716e-cc03-597c-8be8-ade51955213d.html,41.23311,-80.4934
"Sheboygan, WI",300,300,300,http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/,43.71011,-87.735217
"Show Low, AZ",1,1,1,https://twitter.com/LynnMRichards/status/823171903464407040,38.561438,-89.897323
"Shreveport/Bossier, LA",200,1000,600,http://www.ksla.com/story/34314150/large-crowd-marches-in-downtown-shreveport-in-solidarity-with-womens-march-in-dc,32.498202,-93.750228
"Sicklerville, NJ",250,250,250,https://twitter.com/barbaradreyfuss/status/823227200304508932,40.28546,-75.491912
"Silver City, NM",500,500,500,FB,39.036289,-77.010948
"Silverton, CO",50,50,50,FB,48.07844,-121.567062
"Sioux Falls, SD","3,300","3,300",3300,http://www.argusleader.com/story/news/2017/01/21/thousands-join-womens-march-downtown-sioux-falls/96883868/,43.546358,-96.69063
"Sitka, AK",700,700,700,https://twitter.com/sarahebourne/status/823019012426780672,47.45371,-122.321791
"Skagway, AK",122,122,122,FB,59.456753,-135.314852
"Skykomish, WA",8,8,8,FB,47.70927,-121.3601
"Soldotna, AK",200,322,261,http://peninsulaclarion.com/news/local/2017-01-21/solidarity-women-s-march-community-gathering-bring-hundreds-out-soldotna,60.48778,-151.05833
"Sonoma, CA","3,000",3000,3000,http://www.sonomanews.com/news/6572152-181/thousands-turn-up-for-sonoma?artslide=0,38.255943,-122.476819
"South Bend, IN","2,000",2000,2000,https://t.co/fWEc8zTpWX,41.673383,-86.251654
"South Lake Tahoe, CA",700,700,700,http://southtahoenow.com/story/01/21/2017/snow-doesnt-stop-supporters-south-lake-tahoe-march-draws-500,38.906293,-120.83702
"South Orange, NJ","2,000","2,000",2000,FB,47.071862,-88.651973
"Spokane, WA","8,000","8,000",8000,http://www.spokesman.com/stories/2017/jan/21/thousands-more-than-expected-turn-out-for-womens-m/,47.66264,-117.435997
"Springfield, MO","2,000","2,000",2000,http://www.ky3.com/content/news/411423915.html,37.25807,-93.343673
"Springfield, IL","1,000","1,000",1000,State Journal Register,37.25807,-93.343673
"Steamboat Springs, CO","1,000","1,000",1000,http://www.steamboattoday.com/news/2017/jan/21/womens-march-steamboat-springs-surpasses-expectati/,40.486391,-106.829354
"Stamford, CT","5,000","5,000",5000,http://www.stamfordadvocate.com/local/article/Thousands-attend-Women-s-March-in-Stamford-10873898.php,41.054082,-73.536216
"Stanley, ID",30,30,30,https://twitter.com/Margot_Garnick/status/823006371444588544,44.95997,-90.93708
"State College, PA",300,500,400,FB,40.77893,-77.841359
"Stateline, NV",500,500,500,http://www.nevadaappeal.com/news/local/more-than-1-million-join-womens-marches-worldwide/,39.724825,-77.718629
"Statesboro, GA",200,200,200,https://twitter.com/jonathanhtweets/status/823054896165486593,32.425,-81.784956
"Staunton, VA",100,100,100,http://www.newsleader.com/story/news/local/2017/01/21/96880364/,33.80252,-117.99312
"Surry, ME",,,,,41.97819,-76.599403
"Syracuse, NY",2000,"2,000",2000,FB,43.02143,-76.197701
"Tallahassee, FL","15,000","18,000",16500,FB,30.427753,-84.258472
"Taos, NM",100,100,100,FB,0,0
"Tecumseh, MI",35,35,35,https://twitter.com/Anthony_Alaniz/status/823176969202319360,42.008398,-83.922214
"Telluride, CO",200,"1,000",600,FB,37.93749,-107.81229
"Terre Haute, Indiana",200,200,200,http://www.tribstar.com/news/local_news/wabash-valley-residents-gather-in-solidarity-with-marchers-in-washington/article_49969ab3-c25d-52a1-b185-aa99dd701846.html,39.433602,-87.410094
"Tillamook, OR",300,300,300,http://www.tillamookheadlightherald.com/news/womens-march-rally-draws-hundreds-in-tillamook/article_9ae75ab2-e02f-11e6-89fc-3f59da891fab.html,45.461952,-123.740874
"Toledo, OH",200,200,200,http://www.toledoblade.com/Politics/2017/01/21/Toledo-marchers-deliver-message-of-unity-after-inauguration.html,41.720684,-83.569359
"Topeka, KS","4,000","4,000",4000,FB,38.988075,-95.780662
"Traverse City, MI","3,000","3,000",3000,http://www.record-eagle.com/news/thousands-gather-for-traverse-city-women-s-march/article_547cdcb0-e029-11e6-be94-83e0491aa877.html,44.693963,-85.676342
"Trenton, NJ","7,500","7,500",7500,https://t.co/PlbfhQeCXd,40.280531,-74.712018
"Troy, OH",150,200,175,http://tdn-net.com/top-stories/18578/promoting-unity,42.606088,-83.297593
"Truth or Consequences, NM",,,,,37.236952,-77.436872
"Tucson, AZ","15,000","15,000",15000,http://tucson.com/news/local/join-women-s-march-in-tucson/article_a3326d7b-dc9c-5b3f-a443-e6667b3f4a6b.html,32.217975,-110.970869
"Tulsa, OK","1,000","1,000",1000,http://www.tulsaworld.com/homepagelatest/tulsa-rally-promotes-cause-of-women-s-rights-indigenous-group/article_688e80bc-a873-5087-bf2f-057e22435172.html#.WIRHr5jrEik.twitter,32.781179,-96.790329
"Twisp, WA",800,800,800,FB,48.36348,-120.1223
"Ukiah, CA","2,000","2,000",2000,http://www.ukiahdailyjournal.com/general-news/20170121/womens-march-in-ukiah-draws-record-crowds,39.15017,-123.20778
"Unalakleet, AK",38,38,38,adn.com,63.87306,-160.78806
"Union, WA",,,0,,38.45005,-91.00848
"Utica, NY",200,300,250,http://www.wktv.com/story/34315510/peaceful-human-rights-march-at-mvcc,43.077369,-75.233208
"Utqiagvik (Barrow), AK",22,22,22,https://twitter.com/trulyfrancesca/status/823000866718420993,33.927561,-117.887086
"Valdez, AK",100,130,115,https://jackpineradicals.com/boards/topic/womens-march-in-gustavus-alaska/,35.737757,-81.6166
"Valparaiso, IN",260,500,380,http://www.nwitimes.com/news/local/women-march-for-rights-in-valparaiso/article_a8aeff74-665f-52ec-a5ee-19cdbe93cf4e.html,41.454731,-87.065565
"Vancouver, WA",200,200,200,FB,45.678996,-122.720499
"Vashon, WA",251,300,275.5,eyewitness count,47.41219,-122.47255
"Ventura, CA","2,500","3,000",2750,http://www.vcstar.com/story/news/local/communities/ventura/2017/01/21/ventura-march-justice/96687692/,35.0748,-78.884257
"Vermillion, SD",500,500,500,http://siouxcityjournal.com/news/photos-vermillion-women-s-march/collection_383f9a7a-0427-5ff3-bfb6-03d3a83ea4ad.html#1,41.380755,-82.401637
"Vieques, PR",,,0,,18.123347,-65.460356
"Vinalhaven, ME",76,100,88,onsite eyewitness via google form,44.08511,-68.841965
"Visalia, CA",500,500,500,http://www.visaliatimesdelta.com/picture-gallery/news/2017/01/21/gallery-visalia-womens-march/96891282/,36.303793,-119.375646
"Walla Walla, WA","2,000","2,000",2000,union-bulletin.com,46.1341,-118.291407
"Walnut Creek, CA","3,000","10,000",6500,http://www.sfchronicle.com/bayarea/article/Crowds-gather-to-demonstrate-against-Trump-10873932.php,37.873343,-122.070625
Washington DC,"470,000","680,000",575000,https://www.nytimes.com/interactive/2017/01/22/us/politics/womens-march-trump-crowd-estimates.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=photo-spot-region&region=top-news&WT.nav=top-news&_r=0,38.911936,-77.016719
"Watertown, NY",250,250,250,http://www.watertowndailytimes.com/news03/watertown-sister-rally-invokes-hope-battles-injustice-20170121,43.968892,-75.906501
"Watsonville, CA",300,500,400,eyewitness,36.98025,-121.74696
"Wausau, WI",200,200,200,FB,44.963304,-89.704051
"Welches, OR",,,,,45.327305,-121.973561
"Wellfleet, MA",113,113,113,via email (JP),40.762172,-100.760429
"Wenatchee, WA","2,000","2,000",2000,http://www.wenatcheeworld.com/news/2017/jan/21/huge-turnout-for-womens-march/,47.573816,-120.351884
"West Chester, PA",150,200,175,https://wcborodems.org/2017/01/21/in-solidarity-with-the-womens-march/,39.980107,-75.610503
"West Jefferson, NC",250,300,275,https://twitter.com/wineymomof2/status/822928844558663681,39.94886,-83.309892
"West Lima, WI",1,1,1,Twitter,42.07813,-76.845236
"West Palm Beach, FL","5,000",7000,6000,http://www.palmbeachpost.com/news/local/thousands-turn-out-west-palm-for-women-rally-against-trump/GURHjHOiaBFtDfODkqg0fM/,40.224597,-111.669615
"Westfield, NJ","1,000","2,000",1500,https://www.tapinto.net/towns/westfield/articles/womens-march-in-westfield-attracts-thousands,40.691613,-112.00105
"Wichita, KS",3000,3000,3000,http://www.kansas.com/news/local/article127951994.html,37.651974,-97.258997
"Wichita Falls, TX",150,150,150,http://www.timesrecordnews.com/story/news/local/2017/01/21/group-peacefully-marches-voice-their-concerns/96891804/,33.905544,-98.479881
"Williamsburg, VA",700,1000,850,http://wydaily.com/2017/01/21/womens-march-in-williamsburg-a-family-affair/,37.310451,-76.746769
"Willits, CA",50,50,50,FB,39.525958,-123.36573
"Wilmington, NC",3000,3000,3000,http://www.twcnews.com/nc/coastal/news/2017/01/21/womens-marches-planned-across-north-carolina.html,34.271985,-77.963628
"Wilton, NH",100,125,112.5,onsite eyewitness who did headcount (via google form),43.073715,-73.740236
"Winchester, VA",700,1200,950,onsite eyewitness & local news (via google form),36.131662,-115.168382
"Winston-Salem, NC",,,,,36.111102,-80.200493
"Winters, CA",200,200,200,FB,28.686894,-81.273258
"Woodstock, NY",1000,1000,1000,FB,42.320271,-88.462832
"Woodstock, VA",400,400,400,http://www.nvdaily.com/uncategorized/2017/01/women-hold-sister-march-in-woodstock/,42.320271,-88.462832
"Wooster, OH",500,1000,750,http://www.the-daily-record.com/local%20news/2017/01/22/rally-at-wooster-gazebo-draws-500,40.830699,-81.895377
"Worcester, MA",,,,http://www.telegram.com/news/20170121/central-mass-residents-turn-out-in-numbers-to-send-trump-message,42.265275,-71.879415
"Wyckoff, NJ",300,500,400,http://www.northjersey.com/story/news/local/2017/01/21/local-womens-marches-draw-far-larger-crowds-than-expected/96778300/,45.341881,-117.872662
"Yakima, WA",1000,1000,1000,http://www.yakimaherald.com/news/local/hundreds-are-marching-through-yakima/article_1a192d50-e009-11e6-87ed-17b155bb6c9c.html,46.722625,-120.406039
"Ypsilanti, MI",1200,1200,1200,https://twitter.com/theplaidjunct/status/822984190467645440,42.202139,-83.620494
"Yucca Valley, CA",50,75,62.5,,34.185894,-116.432416
"Yuma, AZ",,,,,32.701461,-114.657232
"Zebulon, GA",35,35,35,SPLCenter on twitter ,35.87922,-78.355582